

















































dashboardTrend,BIBA,TLS off,multiPageStats,multiPageStats TLS off,6,10,10,20,5,0,0,0,0,0,0
companyBusinessUnitGuiEditCompanyBusinessUnitIdCompanyBusinessUnit1Trend,BIBA,TLS off,multiPageStats,multiPageStats TLS off,6,10,10,20,5,0,0,0,0,0,0
customerAccessGuiTrend,BIBA,TLS off,multiPageStats,multiPageStats TLS off,6,10,10,20,5,0,0,0,0,0,0
securityGuiLoginTrend,BIBA,TLS off,multiPageStats,multiPageStats TLS off,6,10,10,20,5,3140.1666666666665,3127,3138,3156,3153.5,3154.75
customerTrend,BIBA,TLS off,multiPageStats,multiPageStats TLS off,6,10,10,20,5,0,0,0,0,0,0
productManagementTrend,BIBA,TLS off,multiPageStats,multiPageStats TLS off,6,10,10,20,5,0,0,0,0,0,0
salesReclamationGuiTrend,BIBA,TLS off,multiPageStats,multiPageStats TLS off,6,10,10,20,5,0,0,0,0,0,0
companyUnitAddressGuiListCompanyUnitAddressTrend,BIBA,TLS off,multiPageStats,multiPageStats TLS off,6,10,10,20,5,0,0,0,0,0,0
merchantSalesReturnMerchantUserGuiTrend,BIBA,TLS off,multiPageStats,multiPageStats TLS off,6,10,10,20,5,0,0,0,0,0,0
companyRoleGuiListCompanyRoleTrend,BIBA,TLS off,multiPageStats,multiPageStats TLS off,6,10,10,20,5,0,0,0,0,0,0
merchantSalesOrderMerchantUserGuiTrend,BIBA,TLS off,multiPageStats,multiPageStats TLS off,6,10,10,20,5,0,0,0,0,0,0
companyUserGuiEditCompanyUserIdCompanyUser1Trend,BIBA,TLS off,multiPageStats,multiPageStats TLS off,6,10,10,20,5,0,0,0,0,0,0
productManagementEditIdProductAbstract221Trend,BIBA,TLS off,multiPageStats,multiPageStats TLS off,6,10,10,20,5,0,0,0,0,0,0
categoryGuiListTrend,BIBA,TLS off,multiPageStats,multiPageStats TLS off,6,10,10,20,5,0,0,0,0,0,0
companyUnitAddressGuiEditCompanyUnitAddressIdCompanyUnitAddress17Trend,BIBA,TLS off,multiPageStats,multiPageStats TLS off,6,10,10,20,5,0,0,0,0,0,0
salesMatrixTrend,BIBA,TLS off,multiPageStats,multiPageStats TLS off,6,10,10,20,5,0,0,0,0,0,0
companyBusinessUnitGuiListCompanyBusinessUnitTrend,BIBA,TLS off,multiPageStats,multiPageStats TLS off,6,10,10,20,5,0,0,0,0,0,0
productManagementEditIdProductAbstractTargetIdTrend,BIBA,TLS off,multiPageStats,multiPageStats TLS off,6,10,10,20,5,0,0,0,0,0,0
salesReturnGuiTrend,BIBA,TLS off,multiPageStats,multiPageStats TLS off,6,10,10,20,5,0,0,0,0,0,0
refundTableTrend,BIBA,TLS off,multiPageStats,multiPageStats TLS off,6,10,10,20,5,0,0,0,0,0,0
salesTrend,BIBA,TLS off,multiPageStats,multiPageStats TLS off,6,10,10,20,5,0,0,0,0,0,0
productAttributeGuiAttributeTrend,BIBA,TLS off,multiPageStats,multiPageStats TLS off,6,10,10,20,5,0,0,0,0,0,0
customerGroupTrend,BIBA,TLS off,multiPageStats,multiPageStats TLS off,6,10,10,20,5,0,0,0,0,0,0
categoryGuiEditIdCategory15Trend,BIBA,TLS off,multiPageStats,multiPageStats TLS off,6,10,10,20,5,0,0,0,0,0,0
customerEditIdCustomer1Trend,BIBA,TLS off,multiPageStats,multiPageStats TLS off,6,10,10,20,5,0,0,0,0,0,0
companyGuiEditCompanyIndexIdCompany12Trend,BIBA,TLS off,multiPageStats,multiPageStats TLS off,6,10,10,20,5,0,0,0,0,0,0
